Última Medição;2018m12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Download em;2019m01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Site;http://www.ispdados.rj.gov.br/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CISP;mes;vano;mes_ano;AISP;RISP;munic;mcirc;Regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;registro_ocorrencias;fase
61;1;2003;2003m1;15;3;Duque de Caxias;3301702;Baixada Fluminense;2;0;0;0;2;19;0;0;17;2;0;5;1;1;2;0;0;1;0;0;;3;15;6;1;1;0;;12;20;0;0;0;2;0; ; ; ;24;;;;;24;1;0;0;0;0;2;4;5;124;3
62;1;2003;2003m1;15;3;Duque de Caxias;3301702;Baixada Fluminense;12;0;0;3;1;25;0;0;6;1;1;22;4;6;9;0;0;3;0;0;;14;60;5;1;0;0;;15;21;0;0;0;2;15; ; ; ;14;;;;;27;3;1;0;0;0;15;18;22;172;3
64;1;2003;2003m1;20;3;São João de Meriti;3305109;Baixada Fluminense;17;0;2;3;7;187;9;1;41;16;1;70;8;24;7;0;0;20;1;4;;48;199;44;6;0;5;;88;143;1;0;0;20;12; ; ; ;84;;;;;85;7;2;0;0;0;22;51;70;898;3
65;1;2003;2003m1;34;5;"Magé;Guapimirim";9999982;Baixada Fluminense;4;0;0;0;0;76;2;1;67;1;3;5;3;1;2;0;0;2;0;0;;4;21;4;2;0;5;;47;58;0;0;0;6;7; ; ; ;6;;;;;70;4;0;0;0;0;4;5;5;285;3
66;1;2003;2003m1;34;5;Magé;3302502;Baixada Fluminense;8;0;0;0;2;65;1;1;9;0;3;11;0;5;4;0;0;3;0;0;;12;38;3;1;0;1;;41;46;0;0;0;4;6; ; ; ;8;;;;;53;4;4;0;0;0;8;12;11;278;3
71;1;2003;2003m1;35;4;"Itaboraí;Tanguá";9999983;Interior;9;1;0;0;3;100;3;2;55;10;9;31;10;10;29;0;0;2;1;3;;24;129;13;6;0;2;;73;94;0;0;0;7;13; ; ; ;30;;;;;92;8;2;0;0;0;10;41;31;526;3
72;1;2003;2003m1;7;4;São Gonçalo;3304904;Grande Niterói;15;0;1;0;6;143;2;1;30;10;1;34;5;32;12;0;0;6;0;5;;26;131;34;5;0;6;;86;131;0;0;0;8;4; ; ; ;36;;;;;138;5;2;0;0;0;16;50;34;642;3
73;1;2003;2003m1;7;4;São Gonçalo;3304904;Grande Niterói;7;0;0;0;1;77;0;2;18;5;3;25;1;14;8;0;0;3;1;2;;23;85;16;2;0;0;;43;61;0;0;0;2;5; ; ; ;47;;;;;79;0;2;0;0;0;7;25;25;379;3
74;1;2003;2003m1;7;4;São Gonçalo;3304904;Grande Niterói;9;0;0;1;6;127;9;8;31;5;1;33;2;32;29;0;0;8;0;4;;28;142;18;7;1;7;;82;115;0;1;0;7;16; ; ; ;36;;;;;112;5;3;0;0;0;10;69;33;627;3
75;1;2003;2003m1;7;4;São Gonçalo;3304904;Grande Niterói;8;0;0;0;8;46;1;3;31;1;1;18;2;3;11;0;0;2;0;0;;14;52;2;1;0;0;;25;28;0;0;0;3;1; ; ; ;25;;;;;44;4;0;0;0;0;8;16;18;246;3
76;1;2003;2003m1;12;4;Niterói;3303302;Grande Niterói;1;0;0;2;1;45;1;2;43;16;4;28;1;42;20;0;0;23;0;8;;27;169;52;62;0;25;;97;236;0;0;0;13;6; ; ; ;12;;;;;65;6;1;0;0;0;3;85;28;650;3
77;1;2003;2003m1;12;4;Niterói;3303302;Grande Niterói;1;0;0;2;1;47;0;0;15;14;1;26;0;15;15;0;0;13;0;1;;25;110;83;8;0;7;;80;178;0;0;0;6;11; ; ; ;20;;;;;51;7;2;0;0;0;3;43;26;456;3
78;1;2003;2003m1;12;4;Niterói;3303302;Grande Niterói;6;0;0;1;3;86;3;0;27;7;1;20;3;14;29;0;0;12;0;0;;10;96;12;1;0;4;;39;56;0;0;0;1;10; ; ; ;39;;;;;69;3;1;0;0;0;7;55;20;397;3
79;1;2003;2003m1;12;4;Niterói;3303302;Grande Niterói;4;0;0;0;2;42;0;0;8;2;3;2;1;3;0;0;0;0;0;0;;4;15;13;1;0;0;;20;34;0;0;0;1;2; ; ; ;10;;;;;42;2;1;0;0;0;4;3;2;158;3
81;1;2003;2003m1;12;4;Niterói;3303302;Grande Niterói;4;0;0;0;3;48;2;0;19;2;4;12;0;7;3;0;0;3;1;0;;10;42;33;2;0;5;;62;102;0;0;0;10;3; ; ; ;14;;;;;39;3;2;0;0;0;4;13;12;296;3
82;1;2003;2003m1;12;4;Maricá;3302700;Grande Niterói;4;0;0;0;1;74;3;1;37;2;3;2;0;0;3;0;0;1;0;1;;3;15;11;1;0;2;;61;75;0;0;0;3;1; ; ; ;7;;;;;58;5;3;0;0;0;4;4;2;302;3
88;1;2003;2003m1;10;5;Barra do Pirai;3300308;Interior;1;0;0;0;2;42;2;3;11;0;0;2;0;1;0;0;0;0;0;0;;1;4;3;0;0;1;;21;25;0;0;0;3;8; ; ; ;1;;;;;21;1;0;0;0;0;1;1;2;158;3
89;1;2003;2003m1;28;5;Resende;3304201;Interior;3;0;0;0;6;80;1;2;19;15;0;3;2;9;3;0;0;1;0;2;;2;37;3;5;1;0;;105;114;0;1;0;7;3; ; ; ;10;;;;;101;8;1;1;0;0;3;13;3;438;3
90;1;2003;2003m1;28;5;Barra Mansa;3300407;Interior;2;0;0;0;7;62;2;1;14;7;2;5;1;9;1;0;0;1;0;3;;5;34;10;4;0;0;;45;59;0;0;0;1;6; ; ; ;6;;;;;67;2;0;0;0;0;2;11;5;275;3
91;1;2003;2003m1;10;5;Valença;3306107;Interior;0;0;0;0;0;63;0;0;3;0;0;0;0;2;0;0;0;0;0;0;;0;2;2;1;0;0;;42;45;0;0;0;1;9; ; ; ;1;;;;;28;2;1;0;0;0;0;2;0;177;3
92;1;2003;2003m1;10;5;Rio das Flores;3304508;Interior;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;2;2;0;0;0;0;0; ; ; ;0;;;;;0;0;0;0;0;0;0;0;0;15;3
93;1;2003;2003m1;28;5;Volta Redonda;3306305;Interior;6;0;0;0;7;150;2;0;76;9;1;15;1;15;1;0;0;5;0;0;;16;63;29;5;0;1;;99;134;0;0;0;11;18; ; ; ;16;;;;;115;10;0;0;0;0;6;21;15;664;3
94;1;2003;2003m1;10;5;"Piraí;Pinheiral";9999988;Interior;0;0;0;0;0;19;2;6;25;0;1;3;2;1;0;0;0;0;0;0;;2;9;1;0;0;0;;19;20;0;0;0;0;1; ; ; ;1;;;;;24;1;0;0;0;0;0;1;3;107;3
95;1;2003;2003m1;10;5;Vassouras;3306206;Interior;0;0;0;0;0;39;0;2;11;1;0;1;0;1;0;0;0;0;0;0;;1;4;1;0;0;0;;16;17;0;0;0;2;3; ; ; ;2;;;;;34;1;0;0;0;0;0;1;1;100;3
96;1;2003;2003m1;10;5;"Miguel Pereira;Paty dos Alferes";9999999;Interior;2;0;0;0;2;46;3;0;21;0;1;1;0;0;0;0;0;0;0;0;;0;2;0;0;0;0;;26;26;0;0;0;0;3; ; ; ;1;;;;;28;1;0;0;0;0;2;0;1;145;3
97;1;2003;2003m1;10;5;Mendes;3302809;Interior;0;0;0;0;0;12;1;0;3;0;0;0;0;1;0;0;0;0;0;0;;0;1;0;1;0;0;;7;8;0;0;0;1;0; ; ; ;0;;;;;11;0;0;0;0;0;0;1;0;56;3
98;1;2003;2003m1;10;5;Engenheiro Paulo de Frontin;3301801;Interior;0;0;0;0;0;7;1;0;7;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;;7;8;0;0;0;0;0; ; ; ;2;;;;;12;0;0;0;0;0;0;0;0;35;3
